Au (Gold) - Palik

wavelength (microns), Re(index)
0.524446, 0.544053
0.524228, 0.545435
0.52401, 0.546822
0.523791, 0.548214
0.523574, 0.549611
0.523356, 0.551013
0.523138, 0.552419
0.522921, 0.553831
0.522704, 0.555247
0.522487, 0.556668
0.52227, 0.558094
0.522053, 0.559525
0.521837, 0.56096
0.521621, 0.562401
0.521404, 0.563847
0.521188, 0.565297
0.520973, 0.566753
0.520757, 0.568213
0.520542, 0.569678
0.520327, 0.571149
0.520112, 0.572624
0.519897, 0.574105
0.519682, 0.57559
0.519467, 0.57708
0.519253, 0.578576
0.519039, 0.580077
0.518825, 0.581582
0.518611, 0.583093
0.518398, 0.584609
0.518184, 0.586129
0.517971, 0.587655
0.517758, 0.589186
0.517545, 0.590723
0.517332, 0.592264
0.51712, 0.59381
0.516907, 0.595362
0.516695, 0.596919
0.5166, 0.597618
0.516483, 0.598481
0.516271, 0.600048
0.516059, 0.60162
0.515848, 0.603198
0.515636, 0.60478
0.515425, 0.606368
0.515214, 0.607961
0.515003, 0.60956
0.514793, 0.611163
0.514582, 0.612772
0.514372, 0.614386
0.514162, 0.616005
0.513952, 0.617629
0.513742, 0.619259
0.513532, 0.620894
0.513323, 0.622534
0.513114, 0.62418
0.512905, 0.625831
0.512696, 0.627487
0.512487, 0.629148
0.512278, 0.630815
0.51207, 0.632487
0.511862, 0.634164
0.511653, 0.635846
0.511446, 0.637534
0.511238, 0.639227
0.51103, 0.640926
0.510823, 0.642629
0.510616, 0.644338
0.510408, 0.646053
0.510202, 0.647772
0.509995, 0.649497
0.509788, 0.651227
0.509582, 0.652963
0.509376, 0.654704
0.509169, 0.65645
0.508964, 0.658201
0.508758, 0.659958
0.508552, 0.66172
0.508347, 0.663487
0.508142, 0.66526
0.507936, 0.667038
0.507732, 0.668821
0.507527, 0.67061
0.507322, 0.672404
0.507118, 0.674203
0.506914, 0.676007
0.506709, 0.677817
0.506505, 0.679632
0.506302, 0.681452
0.506098, 0.683277
0.505895, 0.685108
0.505691, 0.686944
0.505488, 0.688785
0.505285, 0.690632
0.505083, 0.692483
0.50488, 0.69434
0.504677, 0.696202
0.504475, 0.698069
0.504273, 0.699942
0.504071, 0.701819
0.503869, 0.703702
0.503668, 0.70559
0.503466, 0.707483
0.503265, 0.709381
0.503064, 0.711285
0.502863, 0.713193
0.502662, 0.715107
0.502461, 0.717026
0.502261, 0.718949
0.50206, 0.720878
0.50186, 0.722812
0.50166, 0.724751
0.50146, 0.726695
0.50126, 0.728644
0.501061, 0.730598
0.500861, 0.732557
0.500662, 0.73452
0.500463, 0.736489
0.500264, 0.738463
0.500065, 0.740442
0.499867, 0.742425
0.499668, 0.744413
0.49947, 0.746407
0.499272, 0.748405
0.499074, 0.750407
0.498876, 0.752415
0.498678, 0.754427
0.498481, 0.756445
0.498283, 0.758466
0.498086, 0.760493
0.497889, 0.762524
0.497692, 0.76456
0.497496, 0.766601
0.497299, 0.768646
0.497103, 0.770695
0.496906, 0.77275
0.49671, 0.774808
0.496514, 0.776872
0.496318, 0.778939
0.496123, 0.781011
0.495927, 0.783088
0.4959, 0.783377
0.495732, 0.785169
0.495537, 0.787254
0.495342, 0.789344
0.495147, 0.791438
0.494952, 0.793536
0.494757, 0.795639
0.494563, 0.797745
0.494369, 0.799856
0.494175, 0.801971
0.493981, 0.80409
0.493787, 0.806213
0.493593, 0.808341
0.4934, 0.810472
0.493206, 0.812607
0.493013, 0.814746
0.49282, 0.816889
0.492627, 0.819036
0.492434, 0.821187
0.492242, 0.823341
0.492049, 0.8255
0.491857, 0.827662
0.491665, 0.829827
0.491473, 0.831997
0.491281, 0.834169
0.491089, 0.836346
0.490898, 0.838526
0.490706, 0.840709
0.490515, 0.842896
0.490324, 0.845086
0.490133, 0.84728
0.489942, 0.849477
0.489752, 0.851677
0.489561, 0.85388
0.489371, 0.856087
0.48918, 0.858296
0.48899, 0.860509
0.4888, 0.862725
0.488611, 0.864943
0.488421, 0.867165
0.488232, 0.869389
0.488042, 0.871617
0.487853, 0.873847
0.487664, 0.87608
0.487475, 0.878315
0.487286, 0.880553
0.487098, 0.882794
0.486909, 0.885037
0.486721, 0.887283
0.486533, 0.889531
0.486345, 0.891782
0.486157, 0.894035
0.485969, 0.89629
0.485782, 0.898547
0.485594, 0.900807
0.485407, 0.903068
0.48522, 0.905332
0.485033, 0.907597
0.484846, 0.909865
0.484659, 0.912134
0.484473, 0.914406
0.484286, 0.916679
0.4841, 0.918953
0.483914, 0.92123
0.483728, 0.923508
0.483542, 0.925787
0.483356, 0.928068
0.483171, 0.93035
0.482985, 0.932634
0.4828, 0.934919


Au (Gold) - Palik

wavelength (microns), Re(index)
9.919, 12.24
9.537, 11.51
9.164, 10.84
8.856, 10.21
8.551, 9.582
8.266, 9.016
7.999, 8.5
7.749, 8.06
7.514, 7.655
7.293, 7.281
7.085, 6.937
6.888, 6.598
6.702, 6.27
6.526, 5.966
6.358, 5.664
6.199, 5.423
5.904, 4.971
5.636, 4.611
5.391, 4.292
5.166, 4.007
4.959, 3.748
4.769, 3.507
4.592, 3.289
4.426, 3.091
4.275, 2.911
4.133, 2.749
4, 2.6
3.875, 2.471
3.757, 2.352
3.647, 2.242
3.542, 2.141
3.444, 2.046
3.351, 1.958
3.263, 1.876
3.179, 1.8
3.1, 1.726
2.952, 1.596
2.818, 1.482
2.695, 1.379
2.583, 1.287
2.46, 1.205
2.384, 1.13
2.296, 1.063
2.214, 1.002
2.138, 0.947
2.066, 0.896
2, 0.85
1.937, 0.807
1.879, 0.767
1.823, 0.73
1.771, 0.696
1.712, 0.665
1.675, 0.636
1.631, 0.609
1.59, 0.583
1.55, 0.559
1.512, 0.537
1.476, 0.515
1.442, 0.493
1.409, 0.473
1.378, 0.454
1.319, 0.419
1.291, 0.403
1.265, 0.389
1.24, 0.372
1.127, 0.312
1.033, 0.272
0.9537, 0.235
0.8856, 0.21
0.8266, 0.188
0.7749, 0.174
0.7293, 0.164
0.6888, 0.16
0.6526, 0.166
0.6199, 0.194
0.5904, 0.236
0.5636, 0.306
0.5391, 0.402
0.5166, 0.608
0.4959, 0.916
0.4769, 1.242
0.4592, 1.426
0.4428, 1.562
0.4275, 1.615
0.4133, 1.636
0.4, 1.658
0.3875, 1.674
0.3757, 1.696
0.3647, 1.716
0.3542, 1.74
0.3444, 1.756
0.3351, 1.798
0.3263, 1.824
0.3179, 1.84
0.31, 1.83
0.3024, 1.812
0.2952, 1.776
0.2883, 1.742
0.2818, 1.69
0.2755, 1.648
0.2695, 1.598
0.2638, 1.546
0.2583, 1.504
0.253, 1.49
0.248, 1.464
0.2431, 1.478
0.2384, 1.47
0.2339, 1.452
0.2296, 1.454
0.2254, 1.452
0.2214, 1.442
0.2175, 1.438
0.2138, 1.432
0.2101, 1.43
0.2066, 1.422
0.2, 1.427
0.195, 1.414
0.19, 1.427
0.185, 1.442
0.18, 1.47
0.175, 1.5
0.17, 1.519
0.165, 1.512
0.16, 1.483
0.155, 1.45
0.15, 1.419
0.145, 1.385
0.14, 1.36
0.139, 1.355
0.138, 1.35
0.137, 1.345
0.136, 1.338
0.135, 1.333
0.134, 1.328
0.133, 1.323
0.132, 1.318
0.131, 1.313
0.13, 1.306
0.129, 1.304
0.127, 1.295
0.126, 1.29
0.126, 1.3
0.125, 1.285
0.124, 1.28
0.123, 1.275
0.122, 1.27
0.121, 1.265
0.12, 1.26
0.119, 1.255
0.117, 1.247
0.116, 1.242
0.116, 1.25
0.115, 1.237
0.114, 1.232
0.113, 1.228
0.112, 1.225
0.111, 1.223
0.11, 1.222
0.109, 1.22
0.108, 1.218
0.107, 1.218
0.106, 1.217
0.105, 1.217
0.104, 1.215
0.103, 1.213
0.102, 1.21
0.101, 1.207
0.1, 1.2
0.099, 1.19
0.098, 1.18
0.097, 1.17
0.096, 1.159
0.095, 1.146
0.094, 1.133
0.093, 1.121
0.092, 1.11
0.091, 1.1
0.09, 1.09
0.089, 1.08
0.088, 1.07
