Au (Gold) - Palik

wavelength (microns), Im(index)
0.4428, 1.904
0.4275, 1.94
0.4133, 1.958
0.4, 1.956
0.3875, 1.936
0.3757, 1.906
0.3647, 1.861
0.3542, 1.846
0.3444, 1.845
0.3351, 1.86
0.3263, 1.878
0.3179, 1.904
0.31, 1.916
0.3024, 1.92
0.2952, 1.918
0.2883, 1.9
0.2818, 1.882
0.2755, 1.852
0.2695, 1.822
0.2638, 1.784
0.2583, 1.748
0.253, 1.698
0.248, 1.636
0.2431, 1.59
0.2384, 1.55
0.2339, 1.51
0.2296, 1.478
0.2254, 1.442
0.2214, 1.418
0.2175, 1.388
0.2138, 1.364
0.2101, 1.334
0.2066, 1.306
0.2, 1.215
0.195, 1.17
0.19, 1.135
0.185, 1.107
0.18, 1.085
0.175, 1.07
0.17, 1.07
0.165, 1.093
0.16, 1.106
0.155, 1.108
0.15, 1.102
0.145, 1.089
0.14, 1.072
0.139, 1.067
0.138, 1.063
0.137, 1.058
0.136, 1.053
0.135, 1.05
0.134, 1.045
0.133, 1.038
0.132, 1.032
0.131, 1.027
0.13, 1.02
0.129, 1.017
0.127, 1.005
0.126, 1
0.126, 1.012
0.125, 0.994
0.124, 0.987
0.123, 0.982
0.122, 0.975
0.121, 0.967
0.12, 0.962
0.119, 0.955
0.117, 0.942
0.116, 0.935
0.116, 0.95
0.115, 0.932
0.114, 0.927
0.113, 0.922
0.112, 0.914
0.111, 0.907
0.11, 0.9
0.109, 0.893
0.108, 0.885
0.107, 0.878
0.106, 0.87
0.105, 0.865
0.104, 0.86
0.103, 0.853
0.102, 0.848
0.101, 0.842
0.1, 0.836
0.099, 0.831
0.098, 0.826
0.097, 0.823
0.096, 0.819
0.095, 0.815
0.094, 0.812
0.093, 0.809
0.092, 0.806
0.091, 0.801
0.09, 0.798
0.089, 0.793
0.088, 0.789
0.087, 0.784
0.086, 0.78
0.085, 0.775
0.084, 0.77
0.083, 0.765
0.082, 0.759
0.081, 0.752
0.08, 0.745
0.079, 0.739
0.078, 0.73
0.077, 0.72
0.076, 0.713
0.075, 0.704
0.074, 0.697
0.073, 0.69
0.072, 0.685
0.071, 0.68
0.07, 0.678
0.069, 0.68
0.068, 0.687
0.067, 0.694
0.066, 0.7
0.065, 0.71
0.064, 0.73
0.063, 0.75
0.062, 0.77
0.061, 0.795
0.06, 0.813
0.059, 0.83
0.058, 0.842
0.057, 0.85
0.056, 0.848
0.055, 0.84
0.054, 0.825
0.053, 0.795
0.052, 0.74
0.051, 0.695
0.05, 0.645
0.049, 0.6
0.048, 0.565
0.04768, 0.679
0.047, 0.548
0.04592, 0.635
0.04428, 0.607
0.04275, 0.599
0.04203, 0.601
0.04133, 0.603
0.04065, 0.601
0.03999, 0.596
0.03874, 0.57
0.03757, 0.515
0.03646, 0.473
0.03542, 0.439
0.03444, 0.414
0.03351, 0.391
0.03263, 0.371
0.03179, 0.353
0.03099, 0.334
0.03024, 0.317
0.02952, 0.303
0.02883, 0.292
0.02816, 0.282
0.02755, 0.27
0.02695, 0.254
0.02636, 0.238
0.02583, 0.225
0.0253, 0.213
0.0248, 0.204
0.02384, 0.19
0.02296, 0.18
0.02214, 0.171
0.02136, 0.166
0.02066, 0.162
0.02, 0.156
0.01937, 0.147
0.01876, 0.136
0.01823, 0.124
0.01771, 0.112
0.01722, 0.0997
0.01675, 0.0927
0.01631, 0.0871
0.01589, 0.0816
0.0155, 0.0751
0.01512, 0.0682
0.01494, 0.0653
0.01485, 0.0637
0.01476, 0.0633
0.01467, 0.0654
0.01459, 0.0648
0.01442, 0.0613
0.01425, 0.0576
0.01417, 0.0558
0.01409, 0.0554
0.0124, 0.0454
0.01181, 0.0353
0.01127, 0.0283
0.01033, 0.0178
0.008265, 0.0101
0.006888, 0.0107
0.006199, 0.0115
0.005636, 0.0118
0.004769, 0.0106
0.004133, 0.00695
0.003136, 0.00615
0.002742, 0.0061
0.002478, 0.0056
0.002362, 0.00376
0.002164, 0.00285
0.001945, 0.00268
0.001759, 0.00234
